OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SiteEnergyUseWN(GJ),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),TotalGHGEmissions(MetricTonsCO2e)
27597,SPS-District K-12,K-12 School,Northgate Elementary,98125.0,6411600312,5,NORTHWEST,1956,1.0,1,4196.801928960001,0.0,K-12 School,,86.0,1002.2174280531713,2393497.3784574997,0.0,215072.54690000002,1251962.68262,68.13499999999999
27598,NonResidential,Worship Facility,St. Andrew Kim,98125.0,6411600330,5,NORTHWEST,2002,1.0,1,2318.3953632000002,0.0,Worship Facility,,44.5,662.6559324547097,802105.6722899999,0.0,92398.69922000001,363957.19031,20.520000000000003
27639,NonResidential,Other,TEATRO ZINZANNI,18390,5457800275,7,MAGNOLIA / QUEEN ANNE,2008,1,2.0,2145.8744179200003,0.0,Performing Arts,,,3145.7702568182913,3486586.09298,0.0,427134.0,1689421.15536,95.2
27668,NonResidential,Other,Bailey Boushay House,98112.0,5016001680,3,Central,1991,1.0,3,3165.5781849600003,0.0,Other/Specialty Hospital,,,4732.283340091626,6806651.011099999,0.0,1041022.5625,2990043.73271,175.27499999999998
27673,NonResidential,Hotel,Hotel1000,98104.0,5017300000,7,DOWNTOWN,2006,0.0,10,36469.27415808,2064.7700640000003,Hotel,Parking,18.5,2495.038754576093,20291935.21808,0.0,3300865.25,8032579.033159999,482.86
27703,NonResidential,Worship Facility,(ID27703) International Full Gospel Fellowship,98125.0,6413600295,5,North,1961,1.0,2,7104.759984,0.0,Worship Facility,Other - Education,,489.4682283908341,2034591.0241325,0.0,176897.10155000002,1147952.2301699999,61.989999999999995
27704,NonResidential,K-12 School,Seattle Jewish Community School,98125.0,6413600296,5,North,1988,1.0,2,3062.17710144,0.0,K-12 School,,71.5,1138.4962665686621,2016977.25902125,0.0,181789.60155,1148796.8057,62.15
27721,Nonresidential COS,Other,The Seattle Public Library - Greenwood Branch,98103.0,6430500081,6,NORTHWEST,2004,1.0,1,2543.31362304,1353.5972928,Library,Parking,,2313.333561147805,1259446.81667125,0.0,196350.45315000002,455414.53888,27.595
27799,Campus,K-12 School,The Bush School - Lower / Middle School,98112.0,6600000120,3,CENTRAL,1950,1.0,1,10200.19637376,0.0,K-12 School,,93.5,510.4778723374294,3432003.2232925,0.0,211350.75,2136275.46493,112.565
27821,NonResidential,Supermarket / Grocery Store,70500866 -- Northgate,98125.0,5724500615,5,North,1996,1.0,1,4157.8755552,0.0,Supermarket/Grocery Store,,45.5,6534.571070700527,13383727.29656,0.0,1933182.375,5753473.23814,335.605
